,Unnamed: 0,Statement,Verbs/Skills,Grade,Subject
9,9,"(10) Author's purpose and craft: listening, speaking, reading, writing, and thinking using multiple texts. The student uses critical inquiry to analyze the authors' choices and how they influence and communicate meaning within a variety of texts. The student analyzes and applies author's craft purposefully in order to develop his or her own products and performances. The student is expected to: (A) explain the author's purpose and message within a text; (B) analyze how the use of text structure contributes to the author's purpose; (C) analyze the author's use of print and graphic features to achieve specific purposes; (D) describe how the author's use of imagery, literal and figurative language such as simile and metaphor, and sound devices achieves specific purposes; (E) identify and understand the use of literary devices, including first- or third-person point of view; (F) examine how the author's use of language contributes to voice; and (G) explain the purpose of hyperbole, stereotyping, and anecdote .",listen; speak; think; use; use; analyze; influence; communicate; analyze; apply; develop; expect; explain; analyze; contribute; analyze; achieve; describe; achieve; identify; understand; include; examine; contribute; explain; stereotype; anecdote,Grade 5,ENGLISH LANGUAGE ARTS AND READING
10,10,"(11) Composition: listening, speaking, reading, writing, and thinking using multiple texts--writing process. The student uses the writing process recursively to compose multiple texts that are legible and uses appropriate conventions. The student is expected to: (A) plan a first draft by selecting a genre for a particular topic, purpose, and audience using a range of strategies such as brainstorming, freewriting, and mapping; (B) develop drafts into a focused, structured, and coherent piece of writing by: (i) organizing with purposeful structure, including an introduction, transitions, and a conclusion; and (ii) developing an engaging idea reflecting depth of thought with specific facts and details; (C) revise drafts to improve sentence structure and word choice by adding, deleting, combining, and rearranging ideas for coherence and clarity; (D) edit drafts using standard English conventions, including: (i) complete simple and compound sentences with subject-verb agreement and avoidance of splices, run-ons, and fragments; (ii) past tense of irregular verbs; (iii) collective nouns; (iv) adjectives, including their comparative and superlative forms; (v) conjunctive adverbs; (vi) prepositions and prepositional phrases and their influence on subject-verb agreement; (vii) pronouns, including indefinite; (viii) subordinating conjunctions to form complex sentences; (ix) capitalization of abbreviations, initials, acronyms, and organizations; (x) italics and underlining for titles and emphasis and punctuation marks, including quotation marks in dialogue and commas in compound and complex sentences; and (xi) correct spelling of words with grade-appropriate orthographic patterns and rules and high-frequency words; and (E) publish written work for appropriate audiences.",speak; think; use; use; compose; use; expect; select; use; brainstorm; develop; organize; include; develop; reflect; revise; improve; add; delete; combine; rearrange; use; include; complete; verb; include; include; subordinate; form; include; publish; write,Grade 5,ENGLISH LANGUAGE ARTS AND READING
11,11,"(12) Composition: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student uses genre characteristics and craft to compose multiple texts that are meaningful. The student is expected to: (A) compose literary texts such as personal narratives, fiction, and poetry using genre characteristics and craft; (B) compose informational texts, including brief compositions that convey information about a topic, using a clear central idea and genre characteristics and craft; (C) compose argumentative texts, including opinion essays, using genre characteristics and craft; and (D) compose correspondence that requests information.",speak; think; use; use; compose; expect; compose; use; compose; include; convey; use; compose; include; use; request,Grade 5,ENGLISH LANGUAGE ARTS AND READING
12,12,"(13) Inquiry and research: listening, speaking, reading, writing, and thinking using multiple texts. The student engages in both short-term and sustained recursive inquiry processes for a variety of purposes. The student is expected to: (A) generate and clarify questions on a topic for formal and informal inquiry; (B) develop and follow a research plan with adult assistance; (C) identify and gather relevant information from a variety of sources; (D) understand credibility of primary and secondary sources; (E) demonstrate understanding of information gathered; (F) differentiate between paraphrasing and plagiarism when using source materials; (G) develop a bibliography; and (H) use an appropriate mode of delivery, whether written, oral, or multimodal, to present results.",speak; think; use; engage; sustain; expect; generate; clarify; develop; follow; identify; gather; understand; demonstrate; gather; use; develop; use; write,Grade 5,ENGLISH LANGUAGE ARTS AND READING
0,0,"(1) Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to: (A) listen actively to interpret a message, ask clarifying questions, and respond appropriately; (B) follow and give oral instructions that include multiple action steps; (C) give an organized presentation with a specific stance and position, employing eye contact, speaking rate, volume, enunciation, natural gestures, and conventions of language to communicate ideas effectively; and (D) participate in student-led discussions by eliciting and considering suggestions from other group members, taking notes, and identifying points of agreement and disagreement.",develop; sustain; speak; think; develop; listen; speak; expect; listen; interpret; ask; clarify; respond; follow; give; include; give; employ; speak; communicate; participate; lead; elicit; consider; take; identify,Grade 6,ENGLISH LANGUAGE ARTS AND READING
1,1,"(2) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to: (A) use print or digital resources to determine the meaning, syllabication, pronunciation, word origin, and part of speech; (B) use context such as definition, analogy, and examples to clarify the meaning of words; and (C) determine the meaning and usage of grade-level academic English words derived from Greek and Latin roots such as mis/mit, bene, man, vac, scrib/script, and jur/jus.",develop; sustain; speak; use; acquire; expect; determine; use; clarify; determine; derive,Grade 6,ENGLISH LANGUAGE ARTS AND READING
2,2,"(3) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--fluency. The student reads grade-level text with fluency and comprehension. The student is expected to adjust fluency when reading grade-level text based on the reading purpose.",develop; sustain; speak; read; expect; adjust; read; base,Grade 6,ENGLISH LANGUAGE ARTS AND READING
3,3,"(4) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--self-sustained reading. The student reads grade-appropriate texts independently. The student is expected to self-select text and read independently for a sustained period of time.",develop; sustain; speak; sustain; read; expect; read,Grade 6,ENGLISH LANGUAGE ARTS AND READING
4,4,"(5) Comprehension skills: listening, speaking, reading, writing, and thinking using multiple texts. The student uses metacognitive skills to both develop and deepen comprehension of increasingly complex texts. The student is expected to: (A) establish purpose for reading assigned and self-selected text; (B) generate questions about text before, during, and after reading to deepen understanding and gain information; (C) make and correct or confirm predictions using text features, characteristics of genre, and structures; (D) create mental images to deepen understanding; (E) make connections to personal experiences, ideas in other texts, and society; (F) make inferences and use evidence to support understanding; (G) evaluate details read to determine key ideas; (H) synthesize information to create new understanding; and (I) monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down.",speak; think; use; use; develop; deepen; expect; establish; assign; select; generate; read; deepen; gain; make; correct; confirm; use; create; deepen; make; make; use; support; evaluate; read; determine; create; monitor; make; read; use; ask; annotate; understand; break,Grade 6,ENGLISH LANGUAGE ARTS AND READING
5,5,"(6) Response skills: listening, speaking, reading, writing, and thinking using multiple texts. The student responds to an increasingly challenging variety of sources that are read, heard, or viewed. The student is expected to: (A) describe personal connections to a variety of sources, including self-selected texts; (B) write responses that demonstrate understanding of texts, including comparing sources within and across genres; (C) use text evidence to support an appropriate response; (D) paraphrase and summarize texts in ways that maintain meaning and logical order; (E) interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating; (F) respond using newly acquired vocabulary as appropriate; (G) discuss and write about the explicit or implicit meanings of text; (H) respond orally or in writing with appropriate register, vocabulary, tone, and voice; and (I) reflect on and adjust responses as new evidence is presented.",speak; think; use; respond; read; hear; view; expect; describe; include; select; write; demonstrate; include; compare; use; support; summarize; maintain; use; acquire; discuss; write; respond; write; reflect; adjust; present,Grade 6,ENGLISH LANGUAGE ARTS AND READING
6,6,"(7) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--literary elements. The student recognizes and analyzes literary elements within and across increasingly complex traditional, contemporary, classical, and diverse literary texts. The student is expected to: (A) infer multiple themes within and across texts using text evidence; (B) analyze how the characters' internal and external responses develop the plot; (C) analyze plot elements, including rising action, climax, falling action, resolution, and non-linear elements such as flashback; and (D) analyze how the setting, including historical and cultural settings, influences character and plot development.",listen; speak; think; use; recognize; analyze; expect; infer; use; analyze; develop; analyze; include; rise; fall; analyze; include,Grade 6,ENGLISH LANGUAGE ARTS AND READING
7,7,"(8) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student recognizes and analyzes genre-specific characteristics, structures, and purposes within and across increasingly complex traditional, contemporary, classical, and diverse texts. The student is expected to: (A) demonstrate knowledge of literary genres such as realistic fiction, adventure stories, historical fiction, mysteries, humor, and myths; (B) analyze the effect of meter and structural elements such as line breaks in poems across a variety of poetic forms; (C) analyze how playwrights develop characters through dialogue and staging; (D) analyze characteristics and structural elements of informational text, including: (i) the controlling idea or thesis with supporting evidence; (ii) features such as introduction, foreword, preface, references, or acknowledgements to gain background information; and (iii) organizational patterns such as definition, classification, advantage, and disadvantage; (E) analyze characteristics and structures of argumentative text by: (i) identifying the claim; (ii) explaining how the author uses various types of evidence to support the argument; and (iii) identifying the intended audience or reader; and (F) analyze characteristics of multimodal and digital texts.",listen; speak; think; use; recognize; analyze; expect; demonstrate; analyze; analyze; develop; analyze; include; control; support; gain; analyze; identify; explain; use; support; identify; intend; analyze,Grade 6,ENGLISH LANGUAGE ARTS AND READING
8,8,"(9) Author's purpose and craft: listening, speaking, reading, writing, and thinking using multiple texts. The student uses critical inquiry to analyze the authors' choices and how they influence and communicate meaning within a variety of texts. The student analyzes and applies author's craft purposefully in order to develop his or her own products and performances. The student is expected to: (A) explain the author's purpose and message within a text; (B) analyze how the use of text structure contributes to the author's purpose; (C) analyze the author's use of print and graphic features to achieve specific purposes; (D) describe how the author's use of figurative language such as metaphor and personification achieves specific purposes; (E) identify the use of literary devices, including omniscient and limited point of view, to achieve a specific purpose; (F) analyze how the author's use of language contributes to mood and voice; and (G) explain the differences between rhetorical devices and logical fallacies.",listen; speak; think; use; use; analyze; influence; communicate; analyze; apply; develop; expect; explain; analyze; contribute; analyze; achieve; describe; achieve; identify; include; achieve; analyze; contribute; explain,Grade 6,ENGLISH LANGUAGE ARTS AND READING
9,9,"(10) Composition: listening, speaking, reading, writing, and thinking using multiple texts--writing process. The student uses the writing process recursively to compose multiple texts that are legible and uses appropriate conventions. The student is expected to: (A) plan a first draft by selecting a genre appropriate for a particular topic, purpose, and audience using a range of strategies such as discussion, background reading, and personal interests; (B) develop drafts into a focused, structured, and coherent piece of writing by: (i) organizing with purposeful structure, including an introduction, transitions, coherence within and across paragraphs, and a conclusion; and (ii) developing an engaging idea reflecting depth of thought with specific facts and details; (C) revise drafts for clarity, development, organization, style, word choice, and sentence variety; (D) edit drafts using standard English conventions, including: (i) complete complex sentences with subject-verb agreement and avoidance of splices, run-ons, and fragments; (ii) consistent, appropriate use of verb tenses; (iii) conjunctive adverbs; (iv) prepositions and prepositional phrases and their influence on subject-verb agreement; (v) pronouns, including relative; (vi) subordinating conjunctions to form complex sentences and correlative conjunctions such as either/or and neither/nor ; (vii) capitalization of proper nouns, including abbreviations, initials, acronyms, and organizations; (viii) punctuation marks, including commas in complex sentences, transitions, and introductory elements ; and (ix) correct spelling, including commonly confused terms such as its/it's, affect/effect, there/their/they're, and to/two/too; and (E) publish written work for appropriate audiences.",speak; think; use; use; compose; use; expect; select; use; develop; organize; include; develop; reflect; revise; use; include; complete; verb; include; subordinate; form; include; include; include; confuse; affect; publish; write,Grade 6,ENGLISH LANGUAGE ARTS AND READING
10,10,"(11) Composition: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student uses genre characteristics and craft to compose multiple texts that are meaningful. The student is expected to: (A) compose literary texts such as personal narratives, fiction, and poetry using genre characteristics and craft; (B) compose informational texts, including multi-paragraph essays that convey information about a topic, using a clear controlling idea or thesis statement and genre characteristics and craft; (C) compose multi-paragraph argumentative texts using genre characteristics and craft ; and (D) compose correspondence that reflects an opinion, registers a complaint, or requests information in a business or friendly structure.",speak; think; use; use; compose; expect; compose; use; compose; include; convey; use; control; compose; use; reflect; register; request,Grade 6,ENGLISH LANGUAGE ARTS AND READING
11,11,"(12) Inquiry and research: listening, speaking, reading, writing, and thinking using multiple texts. The student engages in both short-term and sustained recursive inquiry processes for a variety of purposes. The student is expected to: (A) generate student-selected and teacher-guided questions for formal and informal inquiry; (B) develop and revise a plan; (C) refine the major research question, if necessary, guided by the answers to a secondary set of questions; (D) identify and gather relevant information from a variety of sources; (E) differentiate between primary and secondary sources; (F) synthesize information from a variety of sources; (G) differentiate between paraphrasing and plagiarism when using source materials; (H) examine sources for: (i) reliability, credibility, and bias; and (ii) faulty reasoning such as hyperbole, emotional appeals, and stereotype; (I) display academic citations and use source materials ethically; and (J) use an appropriate mode of delivery, whether written, oral, or multimodal, to present results.",speak; think; use; engage; sustain; expect; generate; select; guide; develop; revise; refine; guide; identify; gather; use; examine; display; use; use; write,Grade 6,ENGLISH LANGUAGE ARTS AND READING
0,0,"(1) Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to: (A) listen actively to interpret a message and ask clarifying questions that build on others' ideas; (B) follow and give complex oral instructions to perform specific tasks, answer questions, or solve problems; (C) present a critique of a literary work, film, or dramatic production, employing eye contact, speaking rate, volume, enunciation, a variety of natural gestures, and conventions of language to communicate ideas effectively; and (D) engage in meaningful discourse and provide and accept constructive feedback from others.",develop; sustain; speak; think; develop; listen; speak; expect; listen; interpret; ask; clarify; build; follow; give; perform; answer; solve; present; employ; speak; communicate; engage; provide; accept,Grade 7,ENGLISH LANGUAGE ARTS AND READING
1,1,"(2) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to: (A) use print or digital resources to determine the meaning, syllabication, pronunciation, word origin, and part of speech; (B) use context such as contrast or cause and effect to clarify the meaning of words; and (C) determine the meaning and usage of grade-level academic English words derived from Greek and Latin roots such as omni, log/logue, gen, vid/vis, phil, luc, and sens/sent.",develop; sustain; speak; use; acquire; expect; determine; use; cause; clarify; determine; derive; send,Grade 7,ENGLISH LANGUAGE ARTS AND READING
2,2,"(3) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--fluency. The student reads grade-level text with fluency and comprehension. The student is expected to adjust fluency when reading grade-level text based on the reading purpose.",develop; sustain; speak; read; expect; adjust; read; base,Grade 7,ENGLISH LANGUAGE ARTS AND READING
3,3,"(4) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--self-sustained reading. The student reads grade-appropriate texts independently. The student is expected to self-select text and read independently for a sustained period of time.",develop; sustain; speak; sustain; read; expect; read,Grade 7,ENGLISH LANGUAGE ARTS AND READING
4,4,"(5) Comprehension skills: listening, speaking, reading, writing, and thinking using multiple texts. The student uses metacognitive skills to both develop and deepen comprehension of increasingly complex texts. The student is expected to: (A) establish purpose for reading assigned and self-selected texts; (B) generate questions about text before, during, and after reading to deepen understanding and gain information; (C) make and correct or confirm predictions using text features, characteristics of genre, and structures; (D) create mental images to deepen understanding; (E) make connections to personal experiences, ideas in other texts, and society; (F) make inferences and use evidence to support understanding; (G) evaluate details read to determine key ideas; (H) synthesize information to create new understanding; and (I) monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down.",speak; think; use; use; develop; deepen; expect; establish; assign; select; generate; read; deepen; gain; make; correct; confirm; use; create; deepen; make; make; use; support; evaluate; read; determine; create; monitor; make; read; use; ask; annotate; understand; break,Grade 7,ENGLISH LANGUAGE ARTS AND READING
5,5,"(6) Response skills: listening, speaking, reading, writing, and thinking using multiple texts. The student responds to an increasingly challenging variety of sources that are read, heard, or viewed. The student is expected to: (A) describe personal connections to a variety of sources, including self-selected texts; (B) write responses that demonstrate understanding of texts, including comparing sources within and across genres; (C) use text evidence to support an appropriate response; (D) paraphrase and summarize texts in ways that maintain meaning and logical order; (E) interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating; (F) respond using newly acquired vocabulary as appropriate; (G) discuss and write about the explicit or implicit meanings of text; (H) respond orally or in writing with appropriate register, vocabulary, tone, and voice; and (I) reflect on and adjust responses as new evidence is presented.",speak; think; use; respond; read; hear; view; expect; describe; include; select; write; demonstrate; include; compare; use; support; summarize; maintain; use; acquire; discuss; write; respond; write; reflect; adjust; present,Grade 7,ENGLISH LANGUAGE ARTS AND READING
6,6,"(7) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--literary elements. The student recognizes and analyzes literary elements within and across increasingly complex traditional, contemporary, classical, and diverse literary texts. The student is expected to: (A) infer multiple themes within and across texts using text evidence; (B) analyze how characters' qualities influence events and resolution of the conflict; (C) analyze plot elements, including the use of foreshadowing and suspense, to advance the plot; and (D) analyze how the setting influences character and plot development.",listen; speak; think; use; recognize; analyze; expect; infer; use; analyze; analyze; include; advance; analyze,Grade 7,ENGLISH LANGUAGE ARTS AND READING
7,7,"(8) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student recognizes and analyzes genre-specific characteristics, structures, and purposes within and across increasingly complex traditional, contemporary, classical, and diverse texts. The student is expected to: (A) demonstrate knowledge of literary genres such as realistic fiction, adventure stories, historical fiction, mysteries, humor, myths, fantasy, and science fiction; (B) analyze the effect of rhyme scheme, meter, and graphical elements such as punctuation and capitalization in poems across a variety of poetic forms; (C) analyze how playwrights develop characters through dialogue and staging; (D) analyze characteristics and structural elements of informational text, including: (i) the controlling idea or thesis with supporting evidence; (ii) features such as references or acknowledgements; and (iii) organizational patterns that support multiple topics, categories, and subcategories; (E) analyze characteristics and structures of argumentative text by: (i) identifying the claim; (ii) explaining how the author uses various types of evidence and consideration of alternatives to support the argument; and (iii) identifying the intended audience or reader; and (F) analyze characteristics of multimodal and digital texts.",listen; speak; think; use; recognize; analyze; expect; demonstrate; analyze; analyze; develop; analyze; include; control; support; support; analyze; identify; explain; use; support; identify; intend; analyze,Grade 7,ENGLISH LANGUAGE ARTS AND READING
8,8,"(9) Author's purpose and craft: listening, speaking, reading, writing, and thinking using multiple texts. The student uses critical inquiry to analyze the authors' choices and how they influence and communicate meaning within a variety of texts. The student analyzes and applies author's craft purposefully in order to develop his or her own products and performances. The student is expected to: (A) explain the author's purpose and message within a text; (B) analyze how the use of text structure contributes to the author's purpose; (C) analyze the author's use of print and graphic features to achieve specific purposes; (D) describe how the author's use of figurative language such as metaphor and personification achieves specific purposes; (E) identify the use of literary devices, including subjective and objective point of view; (F) analyze how the author's use of language contributes to mood, voice, and tone; and (G) explain the purpose of rhetorical devices such as direct address and rhetorical questions and logical fallacies such as loaded language and sweeping generalizations.",listen; speak; think; use; use; analyze; influence; communicate; analyze; apply; develop; expect; explain; analyze; contribute; analyze; achieve; describe; achieve; identify; include; analyze; contribute; explain; load,Grade 7,ENGLISH LANGUAGE ARTS AND READING
9,9,"(10) Composition: listening, speaking, reading, writing, and thinking using multiple texts--writing process. The student uses the writing process recursively to compose multiple texts that are legible and uses appropriate conventions. The student is expected to: (A) plan a first draft by selecting a genre appropriate for a particular topic, purpose, and audience using a range of strategies such as discussion, background reading, and personal interests; (B) develop drafts into a focused, structured, and coherent piece of writing by: (i) organizing with purposeful structure, including an introduction, transitions, coherence within and across paragraphs, and a conclusion; and (ii) developing an engaging idea reflecting depth of thought with specific facts, details, and examples; (C) revise drafts for clarity, development, organization, style, word choice, and sentence variety; (D) edit drafts using standard English conventions, including: (i) complete complex sentences with subject-verb agreement and avoidance of splices, run-ons, and fragments ; (ii) consistent, appropriate use of verb tenses; (iii) conjunctive adverbs; (iv) prepositions and prepositional phrases and their influence on subject-verb agreement; (v) pronoun-antecedent agreement; (vi) subordinating conjunctions to form complex sentences and correlative conjunctions such as either/or and neither/nor ; (vii) correct capitalization; (viii) punctuation, including commas to set off words, phrases, and clauses, and semicolons; and (ix) correct spelling, including commonly confused terms such as its/it's, affect/effect, there/their/they're, and to/two/too; and (E) publish written work for appropriate audiences.",speak; think; use; use; compose; use; expect; select; use; develop; organize; include; develop; reflect; revise; use; include; complete; verb; subordinate; form; include; set; include; confuse; affect; publish; write,Grade 7,ENGLISH LANGUAGE ARTS AND READING
10,10,"(11) Composition: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student uses genre characteristics and craft to compose multiple texts that are meaningful. The student is expected to: (A) compose literary texts such as personal narratives, fiction, and poetry using genre characteristics and craft; (B) compose informational texts, including multi-paragraph essays that convey information about a topic, using a clear controlling idea or thesis statement and genre characteristics and craft; (C) compose multi-paragraph argumentative texts using genre characteristics and craft; and (D) compose correspondence that reflects an opinion, registers a complaint, or requests information in a business or friendly structure.",speak; think; use; use; compose; expect; compose; use; compose; include; convey; use; control; compose; use; reflect; register; request,Grade 7,ENGLISH LANGUAGE ARTS AND READING
11,11,"(12) Inquiry and research: listening, speaking, reading, writing, and thinking using multiple texts. The student engages in both short-term and sustained recursive inquiry processes for a variety of purposes. The student is expected to: (A) generate student-selected and teacher-guided questions for formal and informal inquiry; (B) develop and revise a plan; (C) refine the major research question, if necessary, guided by the answers to a secondary set of questions; (D) identify and gather relevant information from a variety of sources; (E) differentiate between primary and secondary sources; (F) synthesize information from a variety of sources; (G) differentiate between paraphrasing and plagiarism when using source materials; (H) examine sources for: (i) reliability, credibility, and bias; and (ii) faulty reasoning such as hyperbole, emotional appeals, and stereotype; (I) display academic citations and use source materials ethically; and (J) use an appropriate mode of delivery, whether written, oral, or multimodal, to present results.",speak; think; use; engage; sustain; expect; generate; select; guide; develop; revise; refine; guide; identify; gather; use; examine; display; use; use; write,Grade 7,ENGLISH LANGUAGE ARTS AND READING
0,0,"(1) Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to: (A) listen actively to interpret a message by summarizing, asking questions, and making comments; (B) follow and give complex oral instructions to perform specific tasks, answer questions, or solve problems; (C) advocate a position using anecdotes, analogies, and/or illustrations employing eye contact, speaking rate, volume, enunciation, a variety of natural gestures, and conventions of language to communicate ideas effectively; and (D) participate collaboratively in discussions, plan agendas with clear goals and deadlines, set time limits for speakers, take notes, and vote on key issues.",develop; sustain; speak; think; develop; listen; speak; expect; listen; interpret; ask; make; follow; give; perform; answer; solve; advocate; use; employ; speak; communicate; participate; plan; set; take; vote,Grade 8,ENGLISH LANGUAGE ARTS AND READING
1,1,"(2) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to: (A) use print or digital resources to determine the meaning, syllabication, pronunciation, word origin, and part of speech; (B) use context within or beyond a paragraph to clarify the meaning of unfamiliar or ambiguous words; and (C) determine the meaning and usage of grade-level academic English words derived from Greek and Latin roots such as ast, qui, path, mand/mend, and duc.",develop; sustain; speak; use; acquire; expect; determine; use; clarify; determine; derive,Grade 8,ENGLISH LANGUAGE ARTS AND READING
2,2,"(3) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--fluency. The student reads grade-level text with fluency and comprehension. The student is expected to adjust fluency when reading grade-level text based on the reading purpose.",develop; sustain; speak; read; expect; adjust; read; base,Grade 8,ENGLISH LANGUAGE ARTS AND READING
3,3,"(4) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--self-sustained reading. The student reads grade-appropriate texts independently. The student is expected to self-select text and read independently for a sustained period of time.",develop; sustain; speak; sustain; read; expect; read,Grade 8,ENGLISH LANGUAGE ARTS AND READING
4,4,"(5) Comprehension skills: listening, speaking, reading, writing, and thinking using multiple texts. The student uses metacognitive skills to both develop and deepen comprehension of increasingly complex texts. The student is expected to: (A) establish purpose for reading assigned and self-selected texts; (B) generate questions about text before, during, and after reading to deepen understanding and gain information; (C) make and correct or confirm predictions using text features, characteristics of genre, and structures; (D) create mental images to deepen understanding; (E) make connections to personal experiences, ideas in other texts, and society; (F) make inferences and use evidence to support understanding; (G) evaluate details read to determine key ideas; (H) synthesize information to create new understanding; and (I) monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down.",speak; think; use; use; develop; deepen; expect; establish; assign; select; generate; read; deepen; gain; make; correct; confirm; use; create; deepen; make; make; use; support; evaluate; read; determine; create; monitor; make; read; use; ask; annotate; understand; break,Grade 8,ENGLISH LANGUAGE ARTS AND READING
5,5,"(6) Response skills: listening, speaking, reading, writing, and thinking using multiple texts. The student responds to an increasingly challenging variety of sources that are read, heard, or viewed. The student is expected to: (A) describe personal connections to a variety of sources, including self-selected texts; (B) write responses that demonstrate understanding of texts, including comparing sources within and across genres; (C) use text evidence to support an appropriate response; (D) paraphrase and summarize texts in ways that maintain meaning and logical order; (E) interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating; (F) respond using newly acquired vocabulary as appropriate; (G) discuss and write about the explicit or implicit meanings of text; (H) respond orally or in writing with appropriate register, vocabulary, tone, and voice; (I) reflect on and adjust responses as new evidence is presented; and (J) defend or challenge the authors' claims using relevant text evidence.",speak; think; use; respond; read; hear; view; expect; describe; include; select; write; demonstrate; include; compare; use; support; summarize; maintain; use; acquire; discuss; write; respond; write; reflect; adjust; present; challenge; use,Grade 8,ENGLISH LANGUAGE ARTS AND READING
6,6,"(7) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--literary elements. The student recognizes and analyzes literary elements within and across increasingly complex traditional, contemporary, classical, and diverse literary texts. The student is expected to: (A) analyze how themes are developed through the interaction of characters and events; (B) analyze how characters' motivations and behaviors influence events and resolution of the conflict; (C) analyze non-linear plot development such as flashbacks, foreshadowing, subplots, and parallel plot structures and compare it to linear plot development; and (D) explain how the setting influences the values and beliefs of characters.",listen; speak; think; use; recognize; analyze; expect; develop; analyze; influence; analyze; foreshadow; compare; linear; explain; influence,Grade 8,ENGLISH LANGUAGE ARTS AND READING
7,7,"(8) Multiple genres: listening, speaking, reading, writing, and thinking using multiple texts--genres. The student recognizes and analyzes genre-specific characteristics, structures, and purposes within and across increasingly complex traditional, contemporary, classical, and diverse texts. The student is expected to: (A) demonstrate knowledge of literary genres such as realistic fiction, adventure stories, historical fiction, mysteries, humor, fantasy, science fiction, and short stories; (B) analyze the effect of graphical elements such as punctuation and line length in poems across a variety of poetic forms such as epic, lyric, and humorous poetry; (C) analyze how playwrights develop dramatic action through the use of acts and scenes; (D) analyze characteristics and structural elements of informational text, including: (i) the controlling idea or thesis with supporting evidence; (ii) features such as footnotes, endnotes, and citations; and (iii) multiple organizational patterns within a text to develop the thesis; (E) analyze characteristics and structures of argumentative text by: (i) identifying the claim and analyzing the argument; (ii) identifying and explaining the counter argument; and (iii) identifying the intended audience or reader; and (F) analyze characteristics of multimodal and digital texts.",listen; speak; think; use; recognize; analyze; expect; demonstrate; analyze; analyze; develop; analyze; include; control; support; develop; analyze; identify; analyze; explain; identify; intend; analyze,Grade 8,ENGLISH LANGUAGE ARTS AND READING
8,8,"(9) Author's purpose and craft: listening, speaking, reading, writing, and thinking using multiple texts. The student uses critical inquiry to analyze the authors' choices and how they influence and communicate meaning within a variety of texts. The student analyzes and applies author's craft purposefully in order to develop his or her own products and performances. The student is expected to: (A) explain the author's purpose and message within a text; (B) analyze how the use of text structure contributes to the author's purpose; (C) analyze the author's use of print and graphic features to achieve specific purposes; (D) describe how the author's use of figurative language such as extended metaphor achieves specific purposes; (E) identify and analyze the use of literary devices, including multiple points of view and irony; (F) analyze how the author's use of language contributes to the mood, voice, and tone; and (G) explain the purpose of rhetorical devices such as analogy and juxtaposition and of logical fallacies such as bandwagon appeals and circular reasoning.",listen; speak; think; use; use; analyze; influence; communicate; analyze; apply; develop; expect; explain; analyze; contribute; analyze; achieve; describe; extend; achieve; identify; analyze; include; analyze; contribute; explain,Grade 8,ENGLISH LANGUAGE ARTS AND READING
